codigo,nombre,descripcion,cliente,estado,fecha_inicio,fecha_fin_estimada,presupuesto,porcentaje_avance,ubicacion
PRY-CASA1,Casa Familiar Tipo 1,Desarrollo de casa unifamiliar con diseño contemporáneo,"TVS Development",En Desarrollo,2024-01-15,2024-08-15,"450000000",25,"Lote 1 - Sector Residencial"
PRY-CASA2,Casa Familiar Tipo 2,Casa unifamiliar con acabados premium y área social ampliada,"TVS Development",Planificación,2024-02-01,2024-09-01,"520000000",10,"Lote 2 - Sector Residencial"
PRY-CASA3,Casa Familiar Tipo 3,Diseño de casa con piscina y área de entretenimiento,"TVS Development",Planificación,2024-02-15,2024-09-15,"680000000",5,"Lote 3 - Sector Residencial"
PRY-CASA4,Casa Familiar Tipo 4,Casa de dos pisos con oficina en casa y estudio,"TVS Development",Planificación,2024-03-01,2024-10-01,"720000000",0,"Lote 4 - Sector Residencial"
PRY-CASA5,Casa Familiar Tipo 5,Casa con diseño bioclimático y sistemas sostenibles,"TVS Development",Planificación,2024-03-15,2024-10-15,"850000000",0,"Lote 5 - Sector Residencial"
PRY-CASA6,Casa Familiar Tipo 6,Casa lujosa con jacuzzi y área de spa privada,"TVS Development",Planificación,2024-04-01,2024-11-01,"950000000",0,"Lote 6 - Sector Residencial"
PRY-CASA7,Casa Familiar Tipo 7,Casa principal con mayor área y acabados de lujo,"TVS Development",Planificación,2024-04-15,2024-11-15,"1200000000",0,"Lote 7 - Sector Residencial"
PRY-PORTERIA,Portería y Guardianía,Diseño e implementación de caseta de seguridad y control de acceso,"TVS Development",En Desarrollo,2024-01-10,2024-06-30,"180000000",35,"Acceso Principal - Conjunto Residencial"
PRY-PARCEL,Parcelación General,Diseño urbano y paisajístico del conjunto residencial completo,"TVS Development",En Desarrollo,2024-01-05,2024-12-31,"320000000",40,"Área Total - Conjunto Residencial"
PRY-VIAS,Vías e Infraestructura,Diseño de vías internas pavimentación y sistemas de drenaje,"TVS Development",Planificación,2024-02-01,2024-07-31,"280000000",15,"Vías Internas - Conjunto"
PRY-ZONAS,Zonas Comunes,Diseño de áreas recreativas parques y equipamiento comunitario,"TVS Development",Planificación,2024-03-01,2024-08-31,"420000000",8,"Zonas Comunes - Conjunto"
