codigo,nombre,etapa,categoria,escala,tiempo_estimado_dias,contenido,requiere_especialista,activa
ARQ-001,Planta Arquitectónica General,Arquitectónica,Plantas de Distribución,1:100,3-5 días,"Distribución espacial general, ubicación de muros, puertas, ventanas, circulaciones principales y secundarias, especificación de áreas y dimensiones generales",false,true
ARQ-002,Planta de Techos,Arquitectónica,Plantas de Distribución,1:100,2-3 días,"Configuración de cubiertas, pendientes, bajantes de aguas lluvias, especificación de materiales de techos y sistemas de evacuación de aguas",false,true
ARQ-003,Fachadas Principales,Arquitectónica,Alzados y Cortes,1:100,4-6 días,"Elevaciones frontales, laterales y posteriores con especificación de materiales, texturas, colores, proporciones de vanos y elementos decorativos",false,true
ARQ-004,Cortes Arquitectónicos,Arquitectónica,Alzados y Cortes,1:100,3-4 días,"Cortes longitudinales y transversales mostrando alturas internas, niveles de pisos, inclinaciones de techos y relaciones espaciales verticales",false,true
ARQ-005,Planta de Acabados,Arquitectónica,Especificaciones,1:50,2-3 días,"Especificación detallada de acabados por ambiente: pisos, muros, cielos rasos, con referencias de materiales y colores",false,true
ARQ-006,Detalles Arquitectónicos,Arquitectónica,Detalles Constructivos,1:20,3-5 días,"Detalles de encuentros, molduras, marcos de puertas y ventanas, especificaciones constructivas de elementos arquitectónicos particulares",false,true
ARQ-007,Planta de Carpintería,Arquitectónica,Especializados,1:50,4-6 días,"Ubicación y especificación de puertas, ventanas, mobiliario fijo, closets, con dimensiones, materiales y herrajes",false,true
ARQ-008,Paisajismo General,Arquitectónica,Paisajismo,1:200,5-7 días,"Diseño de jardines, ubicación de especies vegetales, senderos, áreas duras, mobiliario urbano y sistemas de riego básico",true,true
EST-001,Planta de Cimentación,Técnica,Estructural,1:100,5-7 días,"Diseño de fundaciones, zapatas, vigas de cimentación, especificación de refuerzo, profundidades de excavación y resistencia del suelo",true,true
EST-002,Planta de Despiece de Vigas,Técnica,Estructural,1:75,4-6 días,"Ubicación y dimensiones de vigas principales y secundarias, especificación de refuerzo longitudinal y transversal, conexiones y apoyos",true,true
